// Radical name dictionary (v0.9)
⼇	tóu	Kangxi radical number 8NAME 六字头 lìuzìtóuVARIANTS 亠MEANING lidEXAMPLES 方·亡·亢·交RANK 75.3%DISTINGHUISH FROM 一·冖·宀·乛NOTES  known in chinese as “点横” or “文字头”. Only a couple characters relate to any concept of cover or lid, a few more relate to the idea of a head as something up above. HOMEPAGE ► 偏旁
⺅	rén	Variant of radical ⼈ (man)EXAMPLES 你·什·仁·仇HOMEPAGE ► 偏旁
人	rén	Variant of radical ⼈ (man)EXAMPLES 你·什·仁·仇HOMEPAGE ► 偏旁
亻	rén	Variant of radical ⼈ (man)EXAMPLES 你·什·仁·仇HOMEPAGE ► 偏旁
单立人	dānlìrén	Name of radical number 9 ⼈MEANING manEXAMPLES 你·什·仁·仇HOMEPAGE ► 偏旁
单人旁	dānrénpáng	Name of radical number 9 ⼈MEANING manEXAMPLES 你·什·仁·仇HOMEPAGE ► 偏旁
⼈	rén	Kangxi radical number 9NAME 单立人 dānlìrén·单人旁 dānrénpángVARIANTS ⺅·人·亻STANDALONE 人MEANING manEXAMPLES 你·什·仁·仇MNEMONIC  This is a simple stick figure, or a pair of legsRANK 75.3%DISTINGHUISH FROM 入,八NOTES  One of the most common radicals, typically used in characters representing human attributes or actions that man undertakes; Modern dictionaries group 人 and 入 togetherHOMEPAGE ► 偏旁
儿	ér	Variant of radical ⼉ (son, legs)EXAMPLES 兒·兀·允·元HOMEPAGE ► 偏旁
儿座底	érzuòdǐ	Name of radical number 10 ⼉MEANING son, legsEXAMPLES 兒·兀·允·元HOMEPAGE ► 偏旁
⼉	ér	Kangxi radical number 10NAME 儿座底 érzuòdǐVARIANTS 儿STANDALONE 儿MEANING son, legsEXAMPLES 兒·兀·允·元MNEMONIC  Depicts the two legs of a person.   Few characters actually represent this meaning.RANK 79.1%NOTES  Also known as the LEGS radical due to ancient meaning.  Known now as the short form of 兒.HOMEPAGE ► 偏旁
入	rù	Variant of radical ⼊ (enter)EXAMPLES 內·全·兩·汆HOMEPAGE ► 偏旁
入字旁	rùzìpáng	Name of radical number 11 ⼊MEANING enterEXAMPLES 內·全·兩·汆HOMEPAGE ► 偏旁
⼊	rù	Kangxi radical number 11NAME 入字旁 rùzìpángVARIANTS 入STANDALONE 入MEANING enterEXAMPLES 內·全·兩·汆MNEMONIC  The open door of a tentRANK 44.4%DISTINGHUISH FROM 八,人NOTES  modern dictionaries group 人 and 入 togetherHOMEPAGE ► 偏旁
丷	bā	Variant of radical ⼋ (eight)EXAMPLES 公·六·兮·穴HOMEPAGE ► 偏旁
八	bā	Variant of radical ⼋ (eight)EXAMPLES 公·六·兮·穴HOMEPAGE ► 偏旁
八字旁	bāzìpáng	Name of radical number 12 ⼋MEANING eightEXAMPLES 公·六·兮·穴HOMEPAGE ► 偏旁
⼋	bā	Kangxi radical number 12NAME 八字旁 bāzìpángVARIANTS 丷·八STANDALONE 八MEANING eightEXAMPLES 公·六·兮·穴MNEMONIC  Indicates separation, to split something. Can also have a meaning like 拔 - to pull outRANK 20.1%DISTINGHUISH FROM 入,人NOTES  Used in some characters with two downward strokesHOMEPAGE ► 偏旁
⺆	jiōng	Variant of radical ⼌ (wide)EXAMPLES 冇·冊·冉·肉HOMEPAGE ► 偏旁
冂	jiōng	Variant of radical ⼌ (wide)EXAMPLES 冇·冊·冉·肉HOMEPAGE ► 偏旁
同字匡	tóngzìkuāng	Name of radical number 13 ⼌MEANING wideEXAMPLES 冇·冊·冉·肉HOMEPAGE ► 偏旁
⼌	jiōng	Kangxi radical number 13NAME 同字匡 tóngzìkuāngVARIANTS ⺆·冂MEANING wideEXAMPLES 冇·冊·冉·肉RANK 52.7%NOTES  Also known as DOWN BOX radicalHOMEPAGE ► 偏旁
冖	mì	Variant of radical ⼍ (cloth cover)EXAMPLES 冗·冠·冥·運HOMEPAGE ► 偏旁
秃宝盖	tūbǎogài	Name of radical number 14 ⼍MEANING cloth coverEXAMPLES 冗·冠·冥·運HOMEPAGE ► 偏旁
⼍	mì	Kangxi radical number 14NAME 秃宝盖 tūbǎogàiVARIANTS 冖MEANING cloth coverEXAMPLES 冗·冠·冥·運RANK 59.0%DISTINGHUISH FROM 一·亠·宀·乛NOTES  aka COVER radicalHOMEPAGE ► 偏旁
冫	bīng	Variant of radical ⼎ (ice)EXAMPLES 冬·冰·冶·凉HOMEPAGE ► 偏旁
两点水	liǎngdiǎnshǔi	Name of radical number 15 ⼎MEANING iceEXAMPLES 冬·冰·冶·凉HOMEPAGE ► 偏旁
⼎	bīng	Kangxi radical number 15NAME 两点水 liǎngdiǎnshǔiVARIANTS 冫MEANING iceEXAMPLES 冬·冰·冶·凉MNEMONIC  possibly a reduction of 仌, sometimes indicates a splitRANK 82.2%DISTINGHUISH FROM 彡，氵NOTES  All things cold and icy are encompassed by this radicalHOMEPAGE ► 偏旁
⺇	jī	Variant of radical ⼏ (table)EXAMPLES 風·殳·凡·凱HOMEPAGE ► 偏旁
几	jī	Variant of radical ⼏ (table)EXAMPLES 風·殳·凡·凱HOMEPAGE ► 偏旁
𠘧	jī	Variant of radical ⼏ (table)EXAMPLES 風·殳·凡·凱HOMEPAGE ► 偏旁
𠘨	jī	Variant of radical ⼏ (table)EXAMPLES 風·殳·凡·凱HOMEPAGE ► 偏旁
几字旁	jīzìpáng	Name of radical number 16 ⼏MEANING tableEXAMPLES 風·殳·凡·凱HOMEPAGE ► 偏旁
⼏	jī	Kangxi radical number 16NAME 几字旁 jīzìpángVARIANTS ⺇·几·𠘧·𠘨STANDALONE 几MEANING tableEXAMPLES 風·殳·凡·凱RANK 63.1%HOMEPAGE ► 偏旁
凵	kǎn	Variant of radical ⼐ (receptacle)EXAMPLES 凶·凸·凹·齒HOMEPAGE ► 偏旁
凶字框	xiōngzìkuàng	Name of radical number 17 ⼐MEANING receptacleEXAMPLES 凶·凸·凹·齒HOMEPAGE ► 偏旁
⼐	kǎn	Kangxi radical number 17NAME 凶字框 xiōngzìkuàngVARIANTS 凵MEANING receptacleEXAMPLES 凶·凸·凹·齒MNEMONIC  primitive of an open vessel or receptacleRANK 59.0%NOTES  aka open boxHOMEPAGE ► 偏旁
⺈	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
⺉	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
刀	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
刁	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
刂	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
𠂊	dāo	Variant of radical ⼑ (knife)EXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
刀字旁	dāozìpáng	Name of radical number 18 ⼑MEANING knifeEXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
立刀旁	lìdāopáng	Name of radical number 18 ⼑MEANING knifeEXAMPLES 刁·解·分·劍HOMEPAGE ► 偏旁
⼑	dāo	Kangxi radical number 18NAME 刀字旁 dāozìpáng·立刀旁 lìdāopángVARIANTS ⺈·⺉·刀·刁·刂·𠂊STANDALONE 刀MEANING knifeEXAMPLES 刁·解·分·劍MNEMONIC  picture of a ancient bronze knifeRANK 44.4%DISTINGHUISH FROM 力勹NOTES  Encompasses numerous characters relating to sharpness and actions undertaken with sharp items.HOMEPAGE ► 偏旁
力	lì	Variant of radical ⼒ (power)EXAMPLES 加·功·劣·男HOMEPAGE ► 偏旁
力字旁	lìzìpáng	Name of radical number 19 ⼒MEANING powerEXAMPLES 加·功·劣·男HOMEPAGE ► 偏旁
⼒	lì	Kangxi radical number 19NAME 力字旁 lìzìpángVARIANTS 力STANDALONE 力MEANING powerEXAMPLES 加·功·劣·男RANK 86.1%DISTINGHUISH FROM 刀NOTES  Used in a variety of characters industrious characters, or those having to do with exertion. aka POWER radicalHOMEPAGE ► 偏旁
勹	bāo	Variant of radical ⼓ (wrap)EXAMPLES 包·勺·勻·勾HOMEPAGE ► 偏旁
包字头	bāozìtóu	Name of radical number 20 ⼓MEANING wrapEXAMPLES 包·勺·勻·勾HOMEPAGE ► 偏旁
