// Radical name dictionary (v0.9)
⼮	chuān	Kangxi radical number 47NAME  VARIANTS 巛·巜·川STANDALONE 川MEANING riverEXAMPLES 川·州·順·災MNEMONIC  Picture of moving waterRANK 20.1%HOMEPAGE ► 偏旁
工	gōng	Variant of radical ⼯ (work)EXAMPLES 左·巧·功·式HOMEPAGE ► 偏旁
工字旁	gōngzìpáng	Name of radical number 48 ⼯MEANING workEXAMPLES 左·巧·功·式HOMEPAGE ► 偏旁
⼯	gōng	Kangxi radical number 48NAME 工字旁 gōngzìpángVARIANTS 工STANDALONE 工MEANING workEXAMPLES 左·巧·功·式MNEMONIC  Depicts a carpenter's square.RANK 59.0%HOMEPAGE ► 偏旁
⺒	jǐ	Variant of radical ⼰ (oneself)EXAMPLES 記·改·忌·龍HOMEPAGE ► 偏旁
己	jǐ	Variant of radical ⼰ (oneself)EXAMPLES 記·改·忌·龍HOMEPAGE ► 偏旁
已	jǐ	Variant of radical ⼰ (oneself)EXAMPLES 記·改·忌·龍HOMEPAGE ► 偏旁
巳	jǐ	Variant of radical ⼰ (oneself)EXAMPLES 記·改·忌·龍HOMEPAGE ► 偏旁
⼰	jǐ	Kangxi radical number 49NAME  VARIANTS ⺒·己·已·巳STANDALONE 己MEANING oneselfEXAMPLES 記·改·忌·龍MNEMONIC  represents the back and forth motion of the warp string in weavingRANK 44.4%HOMEPAGE ► 偏旁
巾	jīn	Variant of radical ⼱ (turban)EXAMPLES 市·帥·刷·砸HOMEPAGE ► 偏旁
巾字儿	jīnzìér	Name of radical number 50 ⼱MEANING turbanEXAMPLES 市·帥·刷·砸HOMEPAGE ► 偏旁
⼱	jīn	Kangxi radical number 50NAME 巾字儿 jīnzìérVARIANTS 巾STANDALONE 巾MEANING turbanEXAMPLES 市·帥·刷·砸MNEMONIC  cloth hanging down, possibly from a loomRANK 87.8%NOTES  The characters under this radical usually represent things made of large expanses of cloth, though smaller items such as headpieces and handkerchiefs are sometimes covered as well.HOMEPAGE ► 偏旁
干	gān	Variant of radical ⼲ (dry)EXAMPLES 旱·开·平·年HOMEPAGE ► 偏旁
干字旁	gānzìpáng	Name of radical number 51 ⼲MEANING dryEXAMPLES 旱·开·平·年HOMEPAGE ► 偏旁
⼲	gān	Kangxi radical number 51NAME 干字旁 gānzìpángVARIANTS 干STANDALONE 干MEANING dryEXAMPLES 旱·开·平·年MNEMONIC  Etymology indicates this is a pestle, but could also be construed as a shield primitiveRANK 52.7%HOMEPAGE ► 偏旁
⺓	yāo	Variant of radical ⼳ (short thread)EXAMPLES 幻·麼·幽·幾HOMEPAGE ► 偏旁
乡	yāo	Variant of radical ⼳ (short thread)EXAMPLES 幻·麼·幽·幾HOMEPAGE ► 偏旁
幺	yāo	Variant of radical ⼳ (short thread)EXAMPLES 幻·麼·幽·幾HOMEPAGE ► 偏旁
⼳	yāo	Kangxi radical number 52NAME  VARIANTS ⺓·乡·幺STANDALONE 幺MEANING short threadEXAMPLES 幻·麼·幽·幾MNEMONIC  evolved from a depiction of coiled silk threadRANK 35.0%DISTINGHUISH FROM 糸,·纟NOTES  Also known as the SLENDER radical. Seems to relate to that which is seemingly small or slight yet quite the opposite in reality.HOMEPAGE ► 偏旁
广	guǎng	Variant of radical ⼴ (dotted cliff)EXAMPLES 庀·庂·庄HOMEPAGE ► 偏旁
广字旁	guǎngzìpáng	Name of radical number 53 ⼴MEANING dotted cliffEXAMPLES 庀·庂·庄HOMEPAGE ► 偏旁
⼴	guǎng	Kangxi radical number 53NAME 广字旁 guǎngzìpángVARIANTS 广STANDALONE 广MEANING dotted cliffEXAMPLES 庀·庂·庄MNEMONIC  This is a picture of a simple shelter, simplification gave the standalone 部首 a new meaningRANK 86.8%NOTES  Traditional form with this specific pronunciation/meaning is a different character. Generally in characters relating to different sorts of structuresHOMEPAGE ► 偏旁
廴	yǐn	Variant of radical ⼵ (long stride)EXAMPLES 廵·廷·延HOMEPAGE ► 偏旁
建之旁	jiànzhīpáng	Name of radical number 54 ⼵MEANING long strideEXAMPLES 廵·廷·延HOMEPAGE ► 偏旁
⼵	yǐn	Kangxi radical number 54NAME 建之旁 jiànzhīpángVARIANTS 廴MEANING long strideEXAMPLES 廵·廷·延MNEMONIC  Depicts a man marching outRANK 35.0%DISTINGHUISH FROM 辶,·⻎,·⻍NOTES  References only three common modern charactersHOMEPAGE ► 偏旁
廾	gǒng	Variant of radical ⼶ (arch)EXAMPLES 廿·弁·弄HOMEPAGE ► 偏旁
弄字底	nòngzìdǐ	Name of radical number 55 ⼶MEANING archEXAMPLES 廿·弁·弄HOMEPAGE ► 偏旁
⼶	gǒng	Kangxi radical number 55NAME 弄字底 nòngzìdǐVARIANTS 廾MEANING archEXAMPLES 廿·弁·弄MNEMONIC  Rough drawing of two joined handsRANK 52.7%HOMEPAGE ► 偏旁
弋	yì	Variant of radical ⼷ (shoot)EXAMPLES 弌·弍·弎HOMEPAGE ► 偏旁
⼷	yì	Kangxi radical number 56NAME  VARIANTS 弋STANDALONE 弋MEANING shootEXAMPLES 弌·弍·弎MNEMONIC  Depicts an ancient weapon described as a retrievable arrow with a string attachedRANK 5.2%NOTES  Also known as the dart radicalHOMEPAGE ► 偏旁
弓	gōng	Variant of radical ⼸ (bow)EXAMPLES 弔·引·弗HOMEPAGE ► 偏旁
弓字旁	gōngzìpáng	Name of radical number 57 ⼸MEANING bowEXAMPLES 弔·引·弗HOMEPAGE ► 偏旁
⼸	gōng	Kangxi radical number 57NAME 弓字旁 gōngzìpángVARIANTS 弓STANDALONE 弓MEANING bowEXAMPLES 弔·引·弗MNEMONIC  a bowRANK 78.4%NOTES  As a bow must be stretched to be shot, characters under this radical tend to deal with elasticity and shooting thingsHOMEPAGE ► 偏旁
⺔	jì	Variant of radical ⼹ (snout)EXAMPLES 彔·彖·彗HOMEPAGE ► 偏旁
⺕	jì	Variant of radical ⼹ (snout)EXAMPLES 彔·彖·彗HOMEPAGE ► 偏旁
彐	jì	Variant of radical ⼹ (snout)EXAMPLES 彔·彖·彗HOMEPAGE ► 偏旁
彑	jì	Variant of radical ⼹ (snout)EXAMPLES 彔·彖·彗HOMEPAGE ► 偏旁
⼹	jì	Kangxi radical number 58NAME  VARIANTS ⺔·⺕·彐·彑MEANING snoutEXAMPLES 彔·彖·彗MNEMONIC  tusks and nose of a pigRANK 44.4%NOTES  There is a third alternate form of this radical which doesn't appear to be encoded in unicodeHOMEPAGE ► 偏旁
彡	shān	Variant of radical ⼺ (bristle)EXAMPLES 形·彤·彥HOMEPAGE ► 偏旁
三撇儿	sānpiěr	Name of radical number 59 ⼺MEANING bristleEXAMPLES 形·彤·彥HOMEPAGE ► 偏旁
⼺	shān	Kangxi radical number 59NAME 三撇儿 sānpiěrVARIANTS 彡STANDALONE 彡MEANING bristleEXAMPLES 形·彤·彥MNEMONIC  Typically represents hair, sometimes rays or threeRANK 67.7%DISTINGHUISH FROM 氵,·冫NOTES  This radical shows up in characters relating to stripes or imagery, and occasionally to hair.  Also referred to as the bristle radicalHOMEPAGE ► 偏旁
彳	chì	Variant of radical ⼻ (step)EXAMPLES 㣔·彴·彷HOMEPAGE ► 偏旁
双立人	shuānglìrén	Name of radical number 60 ⼻MEANING stepEXAMPLES 㣔·彴·彷HOMEPAGE ► 偏旁
⼻	chì	Kangxi radical number 60NAME 双立人 shuānglìrénVARIANTS 彳MEANING stepEXAMPLES 㣔·彴·彷MNEMONIC  This is the 亻radical with an extra stroke, likely representing movement.RANK 82.2%DISTINGHUISH FROM 亻NOTES  Unlike 辶部 which relates to the greater journey, this 部首 focuses on smaller actions and relates the details of the tripHOMEPAGE ► 偏旁
⺖	xīn	Variant of radical ⼼ (heart)EXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
⺗	xīn	Variant of radical ⼼ (heart)EXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
㣺	xīn	Variant of radical ⼼ (heart)EXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
心	xīn	Variant of radical ⼼ (heart)EXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
忄	xīn	Variant of radical ⼼ (heart)EXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
竖心旁	shùxīnpáng	Name of radical number 61 ⼼MEANING heartEXAMPLES 必·忉·忌HOMEPAGE ► 偏旁
⼼	xīn	Kangxi radical number 61NAME 竖心旁 shùxīnpángVARIANTS ⺖·⺗·㣺·心·忄STANDALONE 心MEANING heartEXAMPLES 必·忉·忌MNEMONIC  heart lungRANK 94.0%NOTES  Used in characters relating to emotions.HOMEPAGE ► 偏旁
戈	gē	Variant of radical ⼽ (halberd)EXAMPLES 戊·戉·戌HOMEPAGE ► 偏旁
戈字旁	gēzìpáng	Name of radical number 62 ⼽MEANING halberdEXAMPLES 戊·戉·戌HOMEPAGE ► 偏旁
⼽	gē	Kangxi radical number 62NAME 戈字旁 gēzìpángVARIANTS 戈STANDALONE 戈MEANING halberdEXAMPLES 戊·戉·戌MNEMONIC  This is likely a picture of an ancient weapon called a ge1 which can be seen in museums.  Some suggest it could represent any long handled instrument such as a hoe or axe.RANK 71.5%NOTES  Often lends a military or combative meaning to its charactersHOMEPAGE ► 偏旁
戶	hù	Variant of radical ⼾ (door)EXAMPLES 戹·戼·戽HOMEPAGE ► 偏旁
户	hù	Variant of radical ⼾ (door)EXAMPLES 戹·戼·戽HOMEPAGE ► 偏旁
戸	hù	Variant of radical ⼾ (door)EXAMPLES 戹·戼·戽HOMEPAGE ► 偏旁
户字旁	hùzìpáng	Name of radical number 63 ⼾MEANING doorEXAMPLES 戹·戼·戽HOMEPAGE ► 偏旁
⼾	hù	Kangxi radical number 63NAME 户字旁 hùzìpángVARIANTS 戶·户·戸STANDALONE 户MEANING doorEXAMPLES 戹·戼·戽HOMEPAGE ► 偏旁
⺘	shǒu	Variant of radical ⼿ (hand)EXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
手	shǒu	Variant of radical ⼿ (hand)EXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
扌	shǒu	Variant of radical ⼿ (hand)EXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
才	shǒu	Variant of radical ⼿ (hand)EXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
龵	shǒu	Variant of radical ⼿ (hand)EXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
提手旁	tíshǒupáng	Name of radical number 64 ⼿MEANING handEXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
看字头	kànzìtóu	Name of radical number 64 ⼿MEANING handEXAMPLES 才·扎·扐HOMEPAGE ► 偏旁
⼿	shǒu	Kangxi radical number 64NAME 提手旁 tíshǒupáng·看字头 kànzìtóuVARIANTS ⺘·手·扌·才·龵STANDALONE 手MEANING handEXAMPLES 才·扎·扐MNEMONIC  Represents the palm of the hand, possibly the lines of the palmRANK 74.6%DISTINGHUISH FROM 毛NOTES  Typically signifies actions executed by one's hand.HOMEPAGE ► 偏旁
支	zhī	Variant of radical ⽀ (branch)EXAMPLES 攰·攱·攲HOMEPAGE ► 偏旁
⽀	zhī	Kangxi radical number 65NAME  VARIANTS 支STANDALONE 支MEANING branchEXAMPLES 攰·攱·攲MNEMONIC  Hand 又 holding a branchRANK 35.0%HOMEPAGE ► 偏旁
⺙	pū	Variant of radical ⽁ (rap, tap)EXAMPLES 收·攷·攸HOMEPAGE ► 偏旁
攴	pū	Variant of radical ⽁ (rap, tap)EXAMPLES 收·攷·攸HOMEPAGE ► 偏旁
攵	pū	Variant of radical ⽁ (rap, tap)EXAMPLES 收·攷·攸HOMEPAGE ► 偏旁
反文旁	fǎnwénpáng	Name of radical number 66 ⽁MEANING rap, tapEXAMPLES 收·攷·攸HOMEPAGE ► 偏旁
旧反文旁	jìufǎnwénpáng	Name of radical number 66 ⽁MEANING rap, tapEXAMPLES 收·攷·攸HOMEPAGE ► 偏旁
⽁	pū	Kangxi radical number 66NAME 反文旁 fǎnwénpáng·旧反文旁 jìufǎnwénpángVARIANTS ⺙·攴·攵STANDALONE 攴MEANING rap, tapEXAMPLES 收·攷·攸MNEMONIC  primitive of a hand 又 holding a tool 卜RANK 20.1%DISTINGHUISH FROM 文NOTES  As the hand is engaged in knocking, a number of the characters under this radical relate to actions one may make with their handsHOMEPAGE ► 偏旁
文	wén	Variant of radical ⽂ (script)EXAMPLES 斉·斌·斐HOMEPAGE ► 偏旁
⽂	wén	Kangxi radical number 67NAME  VARIANTS 文STANDALONE 文MEANING scriptEXAMPLES 斉·斌·斐MNEMONIC  a tatto on a chest inside clothsRANK 44.4%DISTINGHUISH FROM 攵·又HOMEPAGE ► 偏旁
斗	dǒu	Variant of radical ⽃ (dipper)EXAMPLES 料·斚·斛HOMEPAGE ► 偏旁
⽃	dǒu	Kangxi radical number 68NAME  VARIANTS 斗STANDALONE 斗MEANING dipperEXAMPLES 料·斚·斛MNEMONIC  This is a picture of a dipper, measuring out grains represented by the two dots.RANK 52.7%NOTES  Stands on it's own as a radical, but traditional variant of this character is 鬥, Radical 191. See dou3HOMEPAGE ► 偏旁
斤	jīn	Variant of radical ⽄ (axe)EXAMPLES 斥·斧·斨HOMEPAGE ► 偏旁
斤字旁	jīnzìpáng	Name of radical number 69 ⽄MEANING axeEXAMPLES 斥·斧·斨HOMEPAGE ► 偏旁
⽄	jīn	Kangxi radical number 69NAME 斤字旁 jīnzìpángVARIANTS 斤STANDALONE 斤MEANING axeEXAMPLES 斥·斧·斨MNEMONIC  an axe over or penetrating into an object (the left-most stroke)RANK 63.1%NOTES  Characters with this radical relate to breaking or dividing actions/conceptsHOMEPAGE ► 偏旁
方	fāng	Variant of radical ⽅ (square)EXAMPLES 㫃·於·㫄HOMEPAGE ► 偏旁
方字旁	fāngzìpáng	Name of radical number 70 ⽅MEANING squareEXAMPLES 㫃·於·㫄HOMEPAGE ► 偏旁
⽅	fāng	Kangxi radical number 70NAME 方字旁 fāngzìpángVARIANTS 方STANDALONE 方MEANING squareEXAMPLES 㫃·於·㫄MNEMONIC  a man 人 carrying a load 工 which must be balanced RANK 35.0%NOTES  In a number of 字 relating to flags and banners, otherwise doesn't seem to relate to many character's meaningHOMEPAGE ► 偏旁
⺛	wú	Variant of radical ⽆ (not)EXAMPLES 既·旣·旤HOMEPAGE ► 偏旁
无	wú	Variant of radical ⽆ (not)EXAMPLES 既·旣·旤HOMEPAGE ► 偏旁
旡	wú	Variant of radical ⽆ (not)EXAMPLES 既·旣·旤HOMEPAGE ► 偏旁
⽆	wú	Kangxi radical number 71NAME  VARIANTS ⺛·无·旡STANDALONE 无MEANING notEXAMPLES 既·旣·旤RANK 20.1%NOTES  This variant was introduced with simplified characters, traditional form represents a dancerHOMEPAGE ► 偏旁
⺜	rì	Variant of radical ⽇ (sun)EXAMPLES 旦·旨·早HOMEPAGE ► 偏旁
冃	rì	Variant of radical ⽇ (sun)EXAMPLES 旦·旨·早HOMEPAGE ► 偏旁
日	rì	Variant of radical ⽇ (sun)EXAMPLES 旦·旨·早HOMEPAGE ► 偏旁
日字旁	rìzìpáng	Name of radical number 72 ⽇MEANING sunEXAMPLES 旦·旨·早HOMEPAGE ► 偏旁
⽇	rì	Kangxi radical number 72NAME 日字旁 rìzìpángVARIANTS ⺜·冃·日STANDALONE 日MEANING sunEXAMPLES 旦·旨·早MNEMONIC  primitive of the sun, possibly represents the two halves of a dayRANK 94.7%DISTINGHUISH FROM 曰,·白,·臼NOTES  As the sun is the original source of heat and light as well as time keeping such characters are found to use this radicalHOMEPAGE ► 偏旁
曰	yuē	Variant of radical ⽈ (say)EXAMPLES 曲·曳·更HOMEPAGE ► 偏旁
⽈	yuē	Kangxi radical number 73NAME  VARIANTS 曰STANDALONE 曰MEANING sayEXAMPLES 曲·曳·更MNEMONIC  a mouth with something - words - in itRANK 67.7%DISTINGHUISH FROM 日,·白,·臼NOTES  Most 字 under this radical have little to do with speakingHOMEPAGE ► 偏旁
⺝	yuè	Variant of radical ⽉ (moon)EXAMPLES 有·朋·服HOMEPAGE ► 偏旁
月	yuè	Variant of radical ⽉ (moon)EXAMPLES 有·朋·服HOMEPAGE ► 偏旁
月字旁	yuèzìpáng	Name of radical number 74 ⽉MEANING moonEXAMPLES 有·朋·服HOMEPAGE ► 偏旁
⽉	yuè	Kangxi radical number 74NAME 月字旁 yuèzìpángVARIANTS ⺝·月STANDALONE 月MEANING moonEXAMPLES 有·朋·服MNEMONIC  primitive of the crescent moonRANK 67.7%NOTES  Be careful to distinguish this from the meat radical, which looks identical. Often used in characters associated with friendship or romanceHOMEPAGE ► 偏旁
木	mù	Variant of radical ⽊ (tree)EXAMPLES 未·末·本HOMEPAGE ► 偏旁
朩	mù	Variant of radical ⽊ (tree)EXAMPLES 未·末·本HOMEPAGE ► 偏旁
木字旁	mùzìpáng	Name of radical number 75 ⽊MEANING treeEXAMPLES 未·末·本HOMEPAGE ► 偏旁
⽊	mù	Kangxi radical number 75NAME 木字旁 mùzìpángVARIANTS 木·朩STANDALONE 木MEANING treeEXAMPLES 未·末·本MNEMONIC  Primitive, Something like a banyan tree with branches and above ground roots on the bottomRANK 98.9%DISTINGHUISH FROM 禾,·釆,·米NOTES  Another very common radical, a large portion of the characters using this radical are items manufactured from wood. Also used for trees and fruitsHOMEPAGE ► 偏旁
欠	qiàn	Variant of radical ⽋ (lack)EXAMPLES 次·欣·欥HOMEPAGE ► 偏旁
欠字旁	qiànzìpáng	Name of radical number 76 ⽋MEANING lackEXAMPLES 次·欣·欥HOMEPAGE ► 偏旁
⽋	qiàn	Kangxi radical number 76NAME 欠字旁 qiànzìpángVARIANTS 欠STANDALONE 欠MEANING lackEXAMPLES 次·欣·欥MNEMONIC  a man yawning - think of the upper part as a hand covering the mouth while in the actRANK 71.5%NOTES  The mouth is involved in yawning, and it's also involved in many other emotional displays and vocal actions, many of which are categorized under this 部首HOMEPAGE ► 偏旁
止	zhǐ	Variant of radical ⽌ (stop)EXAMPLES 正·此·步HOMEPAGE ► 偏旁
龰	zhǐ	Variant of radical ⽌ (stop)EXAMPLES 正·此·步HOMEPAGE ► 偏旁
止字旁	zhǐzìpáng	Name of radical number 77 ⽌MEANING stopEXAMPLES 正·此·步HOMEPAGE ► 偏旁
⽌	zhǐ	Kangxi radical number 77NAME 止字旁 zhǐzìpángVARIANTS 止·龰STANDALONE 止MEANING stopEXAMPLES 正·此·步MNEMONIC  This is a primitive of a footRANK 63.1%HOMEPAGE ► 偏旁
⺞	dǎi	Variant of radical ⽍ (death)EXAMPLES 歺·死·歿HOMEPAGE ► 偏旁
歹	dǎi	Variant of radical ⽍ (death)EXAMPLES 歺·死·歿HOMEPAGE ► 偏旁
歺	dǎi	Variant of radical ⽍ (death)EXAMPLES 歺·死·歿HOMEPAGE ► 偏旁
⽍	dǎi	Kangxi radical number 78NAME  VARIANTS ⺞·歹·歺STANDALONE 歹MEANING deathEXAMPLES 歺·死·歿MNEMONIC  A chip or remnant of a scapula bone 骨RANK 67.7%HOMEPAGE ► 偏旁
殳	shū	Variant of radical ⽎ (weapon)EXAMPLES 段·殷·殺HOMEPAGE ► 偏旁
殳字旁	shūzìpáng	Name of radical number 79 ⽎MEANING weaponEXAMPLES 段·殷·殺HOMEPAGE ► 偏旁
⽎	shū	Kangxi radical number 79NAME 殳字旁 shūzìpángVARIANTS 殳STANDALONE 殳MEANING weaponEXAMPLES 段·殷·殺MNEMONIC  A hand 又 holding a weapon, probably a clubRANK 59.0%NOTES  Also known as the KILL radical.  A number of actions of violence are categorized under this 部首. In context usually means -ingHOMEPAGE ► 偏旁
⺟	wú	Variant of radical ⽏ (do not)EXAMPLES 母·每·毐HOMEPAGE ► 偏旁
毋	wú	Variant of radical ⽏ (do not)EXAMPLES 母·每·毐HOMEPAGE ► 偏旁
毌	wú	Variant of radical ⽏ (do not)EXAMPLES 母·每·毐HOMEPAGE ► 偏旁
母	wú	Variant of radical ⽏ (do not)EXAMPLES 母·每·毐HOMEPAGE ► 偏旁
⽏	wú	Kangxi radical number 80NAME  VARIANTS ⺟·毋·毌·母STANDALONE 毋MEANING do notEXAMPLES 母·每·毐MNEMONIC  a woman with bound breasts - untouchableRANK 35.0%NOTES  Removed from modern simplified radical tablesHOMEPAGE ► 偏旁
比	bǐ	Variant of radical ⽐ (compare)EXAMPLES 毖·毗·毘HOMEPAGE ► 偏旁
⽐	bǐ	Kangxi radical number 81NAME  VARIANTS 比STANDALONE 比MEANING compareEXAMPLES 毖·毗·毘MNEMONIC  Two people or objects side by side for comparisonRANK 52.7%HOMEPAGE ► 偏旁
毛	máo	Variant of radical ⽑ (fur)EXAMPLES 毡·毣·毧HOMEPAGE ► 偏旁
⽑	máo	Kangxi radical number 82NAME  VARIANTS 毛STANDALONE 毛MEANING furEXAMPLES 毡·毣·毧MNEMONIC  a featherRANK 44.4%DISTINGHUISH FROM 手NOTES  This radical relates to fur and feathers as garments, and by extension most types of garmentsHOMEPAGE ► 偏旁
⺠	shì	Variant of radical ⽒ (clan)EXAMPLES 氐·民·氓HOMEPAGE ► 偏旁
氏	shì	Variant of radical ⽒ (clan)EXAMPLES 氐·民·氓HOMEPAGE ► 偏旁
民	shì	Variant of radical ⽒ (clan)EXAMPLES 氐·民·氓HOMEPAGE ► 偏旁
⽒	shì	Kangxi radical number 83NAME  VARIANTS ⺠·氏·民STANDALONE 氏MEANING clanEXAMPLES 氐·民·氓MNEMONIC  a man bowingRANK 20.1%HOMEPAGE ► 偏旁
气	qì	Variant of radical ⽓ (steam)EXAMPLES 氕·氘·氚HOMEPAGE ► 偏旁
⽓	qì	Kangxi radical number 84NAME  VARIANTS 气STANDALONE 气MEANING steamEXAMPLES 氕·氘·氚MNEMONIC  a man blowing air from his mouthRANK 72.5%HOMEPAGE ► 偏旁
⺡	shuǐ	Variant of radical ⽔ (water)EXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
⺢	shuǐ	Variant of radical ⽔ (water)EXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
水	shuǐ	Variant of radical ⽔ (water)EXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
氵	shuǐ	Variant of radical ⽔ (water)EXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
氺	shuǐ	Variant of radical ⽔ (water)EXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
三点水	sāndiǎnshǔi	Name of radical number 85 ⽔MEANING waterEXAMPLES 永·氷·氾HOMEPAGE ► 偏旁
