一	nhất
內	nội|nạp
全	toàn
兩	lưỡng|lạng
八	bát
公	công
六	lục
兮	hề
兰	lan
共	cộng|cung
关	quan|loan
兴	hưng|hứng
兵	binh
其	kỳ|ký|ki
具	cụ
典	điển
兹	tư|từ
养	dưỡng|dượng
兼	kiêm
兽	thú
冀	kí
冁	xiên
冂	quynh
内	nội|nạp
冈	cương
冉	nhiễm
册	sách
再	tái
冑	trụ
冒	mạo|mặc
冓	cấu
冔	hu
冕	miện
冖	mịch
冗	nhũng
写	tả
军	quân
农	nông
冠	quan|quán
冢	trủng
冤	oan
冥	minh
冩	tả
冪	mịch
冫	băng
冬	đông
冯	phùng|bằng
冰	băng
冱	hộ
冲	xung
决	quyết
况	huống
冶	dã
冷	lãnh
冻	đống
冽	liệt
净	tịnh
凂	mỗi
凄	thê
准	chuẩn
凇	tùng
凈	tịnh
凉	lương
凊	sảnh
凋	điêu
凌	lăng
凍	đống
减	giảm
凑	thấu
凓	lật
凔	sương|sảng
凘	tư
凙	đạc
凛	lẫm
凜	lẫm
凝	ngưng
凟	độc
几	kỷ
凡	phàm
凤	phượng
処	xứ
凫	phù
凭	bằng|bẵng
凯	khải
凰	hoàng
凱	khải
凳	đắng
凴	bằng
凵	khảm
凶	hung
凷	khối
凸	đột
凹	ao
出	xuất|xúy
击	kích
函	hàm
凿	tạc
刀	đao
刁	điêu
刃	nhận
刄	lạng
刅	sang
分	phân|phận
切	thiết|thế
刈	ngải
刊	khan|san
刍	sô
刎	vẫn
刑	hình
划	hoa
刓	ngoan
刖	ngoạt
列	liệt
刘	lưu
则	tắc
刚	cương
创	sang|sáng
初	sơ
删	san
判	phán
別	biệt
刦	kiếp
刧	kiếp
刨	bào
利	lợi
别	biệt
刭	hĩnh
刮	quát
到	đáo
刱	sáng
刲	khuê
刳	khô
刴	đóa
刵	nhĩ
制	chế
刷	xoát|loát
券	khoán
刹	sát
刺	thứ|thích
刻	khắc
刼	kiếp
刽	quái
刾	thích
刿	quế
剀	cai|cái
剂	tề
剃	thế
剄	hĩnh
則	tắc
剉	tỏa
削	tước
剋	khắc
剌	lạt
前	tiền
剎	sát
剐	quả
剑	kiếm
剔	dịch
剕	phí
剖	phẩu
剗	sản
剚	chí|tứ
剛	cương
剜	oan
剝	bác
剞	kỉ|ỷ|kì
剟	xuyết
剡	diệm
剥	bác
剧	kịch
剩	thặng
剪	tiễn
剮	quả
副	phó
割	cát
剴	cai|cái
創	sang|sáng
剷	sản
剸	chuyển|chuyên
剺	ly
剽	phiếu|phiểu
剿	tiễu
劂	quyết
劃	hoạch
劇	kịch
劈	phách
劉	lưu
劊	quái
劌	quế
劍	kiếm
劑	tề
劓	nhị|tị
劘	mi
力	lực
劝	khuyến
办	bạn|biện
功	công
加	gia
务	vụ
劣	liệt
动	động
助	trợ
努	nỗ
劫	kiếp
劬	cù
劭	thiệu
励	lệ
劲	kính
劳	lao
効	hiệu
劻	khuông
劼	cật
劾	hặc
势	thế
勁	kính
勃	bột
勅	sắc
勇	dũng
勉	miễn
勋	huân
勑	lai
勒	lặc
動	động
勖	úc
勗	úc
勘	khám
務	vụ
勛	huân
勝	thắng|thăng
勞	lao
募	mộ
勠	lục
勢	thế
勣	tích
勤	cần
勦	tiễu
勩	duệ
勰	hiệp
勲	huân
勵	lệ
勷	nhương
