一	nhất
帑	nô|thảng
帓	mạt
帔	bí
帕	mạt|phách|phạ
帖	thiếp
帘	liêm
帙	trật|pho
帚	trửu
帛	bạch
帜	xí
帝	đế
帢	kháp
帥	suất|súy
带	đái
帧	tránh
帨	thuế
師	sư
席	tịch
帮	bang
帱	trù|đào
帲	bình
帳	trướng
帵	oan
帶	đái
帷	duy
常	thường
帻	trách
帼	quắc
帽	mạo
幀	tránh
幂	mịch
幃	vi
幄	ác
幅	phúc|bức
幌	hoảng
幔	mạn
幕	mạc|mộ|mán
幗	quắc
幘	trách
幛	chướng|trướng
幞	phốc
幟	xí
幡	phiên
幢	chàng
幣	tệ
幧	thiêu
幨	xiêm
幪	mông
幫	bang
幬	trù|đào
干	can
平	bình|biền
年	niên
并	tịnh
幷	tinh|bình
幸	hạnh
幹	cán
幺	yêu
幻	huyễn
幼	ấu
幽	u
幾	ki|kỉ|kí
广	nghiễm|yểm
庀	phỉ
庄	trang
庆	khánh|khương|khanh
庇	tí
床	sàng
庋	kĩ|quỷ
序	tự
庐	lư
庑	vũ
库	khố
应	ứng|ưng
底	để
庖	bào
店	điếm
庙	miếu
庚	canh
府	phủ
庞	bàng|lung
废	phế
庠	tường
庥	hưu
度	độ|đạc
座	tọa
庫	khố
庬	mang
庭	đình|thính
庳	bí|bỉ|tì
庵	am
庶	thứ
康	khang
庸	dong
庾	dữu
廀	sưu
廁	xí|trắc
廂	sương
廈	hạ
廉	liêm
廊	lang
廋	sưu
廌	trĩ|trãi
廏	cứu
廐	cứu
廑	cần|cận
廒	ngao
廓	khuếch
廕	ấm
廖	liêu|liệu
廚	trù
廛	triền
廝	tư
廟	miếu
廠	xưởng
廡	vũ
廢	phế
廣	quảng|quáng
廨	giải|giới
廩	lẫm
廪	lẫm
廬	lư
廱	ung
廳	thính|sảnh
廴	dẫn
延	duyên
廷	đình
建	kiến|kiển
廻	hồi
廼	nãi
廾	củng
廿	nhập|chấp
开	khai
弁	biện|biền|bàn
异	di
弃	khí
弄	lộng
弆	khí
弇	yểm
弈	dịch
弊	tệ|tế
弋	dặc
弌	nhất
弍	nhị
弎	tam
式	thức
弑	thí
弒	thí
弓	cung
弔	điếu|đích
引	dẫn|dấn
弗	phất
弘	hoằng
弛	thỉ
弟	đệ|đễ
张	trương|trướng
弢	thao
弤	để
弥	di
弦	huyền
弧	hồ|o
弩	nỗ
弭	nhị
弱	nhược
張	trương|trướng
弹	đạn|đàn
强	cường
弻	bật
彀	cấu
彄	khu
彈	đạn|đàn
彊	cường|cưỡng|cương
彌	di
彍	khoắc
彐	ký
归	quy
当	đương|đáng
录	lục
彖	thoán
彗	tuệ
彘	trệ
彙	vị|vựng
彞	di
彠	hoạch
彡	sam|tiệm
形	hình
彤	đồng
彥	ngạn
彦	ngạn
彧	úc
彩	thải|thái
彪	bưu
彫	điêu
彬	bân
彭	bành|bang|bàng
彯	phiêu
彰	chương
影	ảnh
彳	sách
彷	bàng|phảng
役	dịch
彻	triệt
彼	bỉ
彿	phất
往	vãng
征	chinh
徂	tồ
径	kính
待	đãi
徇	tuẫn|tuấn|tuân
很	ngận
徉	dương
徊	hồi
律	luật
後	hậu|hấu
徐	từ
徑	kính
徒	đồ
徕	lai|lại
得	đắc
徘	bồi
徙	tỉ
徜	thảng
從	tòng|tụng|thung|túng|tung
徠	lai|lại
御	ngự|nhạ
徧	biến
徨	hoàng
復	phục|phúc
循	tuần
徬	bạng
徭	dao
微	vi
徯	hề|hễ
徴	trưng|chủy|trừng
徵	trưng|chủy|trừng
德	đức
徹	triệt
徼	kiếu|kiêu|yêu
徽	huy
心	tâm
必	tất
忆	ức
忉	đao
忌	kị|kí
忍	nhẫn
忏	sám
忒	thắc
忖	thốn
志	chí
忘	vong
忙	mang
忝	thiểm
忠	trung
忡	sung
忤	ngỗ
忧	ưu
忩	thông
快	khoái
忭	biện
忮	kĩ
忱	thầm
忴	linh
念	niệm
忸	nữu
忻	hãn
忼	khảng
忽	hốt
忾	hi|khái|khải|hất
忿	phẫn
怀	hoài
态	thái
怂	túng
怃	vũ|hủ
怅	trướng
怆	sảng
怍	tạc
怎	chẩm
怏	ưởng
怒	nộ
怔	chinh
怕	phạ
怖	phố
怙	hỗ
怛	đát
怜	liên|lân
思	tư|tứ|tai
怠	đãi
怡	di
急	cấp
怦	phanh
性	tính
怨	oán
怩	ny
怪	quái
怫	phật|phí
怯	khiếp
怳	hoảng
怵	truật
总	tổng
怼	đỗi
怿	dịch
恁	nhẫm
恂	tuân
恃	thị
恇	khuông
恉	chỉ
恋	luyến
恍	hoảng
恐	khủng|khúng
恒	hằng|cắng|căng
恔	hiệu
恕	thứ
恙	dạng
恚	khuể
恝	kiết
恟	hung
恠	quái
恢	khôi
恣	tứ|thư
恤	tuất
恥	sỉ
恧	nục
恨	hận
恩	ân
恪	khác
恫	đỗng
恬	điềm
恭	cung
息	tức
恰	kháp
恳	khẩn
恶	ác|ố|ô
恸	đỗng
恹	yêm
恺	khải
恻	trắc
恼	não
恽	uẩn
恿	dũng
悁	quyên|quyến
悃	khổn
悄	tiễu|thiểu
悅	duyệt
悉	tất
悌	đễ
悍	hãn
悒	ấp
悔	hối|hổi
悖	bội
悚	tủng
悛	thuân
悝	khôi|lý
悞	ngộ
悟	ngộ
悠	du
患	hoạn
悤	thông
悦	duyệt
您	nâm
悬	huyền
悭	khan|san
悯	mẫn
悰	tông
悱	phỉ
悲	bi
悴	tụy
悵	trướng
悶	muộn
悸	quý
悻	hãnh
悼	điệu
悽	thê
悾	không
惄	nịch
情	tình
惆	trù
惇	đôn
惊	kinh
惋	oản|uyển
惎	kị
惑	hoặc
惓	quyền
惕	dịch
惘	võng
惚	hốt
惛	hôn
惜	tích
惟	duy
惠	huệ
惡	ác|ố|ô
惢	nhị
惥	dũng
惧	cụ
惨	thảm
惩	trừng
惪	đức
惫	bại
惬	khiếp|thiếp
惭	tàm
惯	quán
惰	nọa
惱	não
惲	uẩn
想	tưởng
惴	chúy
惶	hoàng
惸	quỳnh
惹	nhạ
惺	tinh
惻	trắc
愀	thiểu|sậu
愁	sầu
愆	khiên
愈	dũ
愉	du|thâu
愊	phức
愍	mẫn
愎	phức
意	ý
愒	khế|khái
愔	âm|am
愕	ngạc
愚	ngu
愛	ái
愜	khiếp|thiếp
感	cảm
愠	uấn
愤	phẫn|phấn
愦	hội
愧	quý
愫	tố
愬	tố|sách
愳	cụ
愴	sảng
愷	khải
愼	thận
愾	hi|khái|khải|hất
愿	nguyện
慁	hỗn
慂	dũng
慄	lật
慆	thao
慇	ân
慈	từ
慊	khiểm|khiết
態	thái
慌	hoảng
慍	uấn
慑	nhiếp
慕	mộ
慘	thảm
慙	tàm
慚	tàm
慝	thắc
慟	đỗng
慢	mạn
慣	quán
慤	khác
慥	tháo
慧	tuệ
慨	khái
慫	túng
慮	lự|lư
慰	úy
慳	khan|san
慴	triệp|điệp
慵	thung|dong
慶	khánh|khương|khanh
慷	khảng
慸	sại|đế
慼	thích
慾	dục
憂	ưu
憃	xuẩn
憇	khế
憊	bại
憎	tăng
憐	liên|lân
憑	bằng
憒	hội
憔	tiều
憖	ngận
憗	ngận
憙	hí
憛	đạn
憝	đỗi
憤	phẫn|phấn
憧	sung|tráng
憨	hàm|hám
憩	khế
憫	mẫn
憬	cảnh
憮	vũ|hủ
憲	hiến
憶	ức
憾	hám
懂	đổng
懃	cần
懇	khẩn
懈	giải
應	ứng|ưng
懊	áo
懋	mậu
懌	dịch
懍	lẫm
懑	muộn
懒	lại|lãn
懔	lẫm
懟	đỗi
懣	muộn
懥	chí|sý
懦	nọa|nhu
懨	yêm
懲	trừng
懵	mộng
懶	lại|lãn
懷	hoài
懸	huyền
懺	sám
懼	cụ
懽	hoàn
懾	nhiếp
懿	ý
戀	luyến
戄	quặc
戅	tráng
戆	tráng
戇	tráng
戈	qua
戊	mậu
戋	tiên|tàn
戌	tuất
戍	thú
戎	nhung
戏	hí|hô|huy
成	thành
我	ngã
戒	giới
戔	tiên|tàn
戕	tường
或	hoặc
战	chiến
戚	thích
戛	kiết
戞	kiết
戟	kích
戡	kham
戢	tập
戤	ngái
戥	đẳng
戩	tiển
截	tiệt
戬	tiển
戮	lục
戰	chiến
戱	hí
戲	hí|hô|huy
戳	trạc|sác
戴	đái
戶	hộ
户	hộ
戹	ách
戼	mão
戽	hố
戾	lệ|liệt
房	phòng|bàng
所	sở
扁	biển|thiên
扃	quynh
扆	ỷ
扇	phiến|thiên
扈	hỗ
扉	phi
手	thủ
才	tài
扎	trát
扑	phốc
扒	bái
打	đả
托	thác
扛	giang
扞	hãn
扢	cột
扣	khấu
执	chấp
扩	khoách|khoáng
扪	môn
扫	tảo
扬	dương
扭	nữu
扮	phẫn|ban|bán
扯	xả
扰	nhiễu
扱	tráp|hấp
扳	ban|bản
扶	phù
批	phê
扺	chỉ
扼	ách
找	hoa|trảo
承	thừa
技	kĩ
抃	biến|biện
抄	sao
抆	vấn
抉	quyết
把	bả
抑	ức
抒	trữ
抓	trảo|trao
抔	bồi
投	đầu
抖	đẩu
抗	kháng
折	chiết|đề
抚	phủ|mô
抛	phao
抝	ảo
抟	đoàn|chuyên
抠	khu
抡	luân
抢	thưởng|thương|thướng
护	hộ
报	báo
抨	phanh|bình
披	phi|bia
抬	sĩ|đài
抱	bão
抵	để|chỉ
抶	sất
抹	mạt
押	áp
抽	trừu
拂	phất|bật|phật
拄	trụ
担	đam|đảm
拆	sách
拇	mẫu
拈	niêm
拉	lạp
拊	phụ|phu
拋	phao
拌	phan|bạn
拍	phách
拎	linh
拏	noa
拐	quải
拑	kiềm
拒	cự|củ
拓	thác|tháp
拔	bạt|bội
拕	tha
拖	tha|đà
拗	ảo|áo|húc
拘	câu|cù
拙	chuyết
拚	biện|phấn|phiên
招	chiêu|thiêu|thiều
拜	bái
拟	nghĩ
拢	long
拣	giản|luyến
拥	ủng|ung
拦	lan
拧	ninh
拨	bát
择	trạch
括	quát|hoạt
拭	thức
拮	kiết|cát|kiệt
拯	chửng
拱	củng
拳	quyền
拴	thuyên
拶	tạt
拷	khảo
拼	bính
拾	thập|thiệp|kiệp
拿	nã
持	trì
挂	quải
挆	đỏa
指	chỉ
挈	khiết|khế
按	án
挐	noa|nư
挑	thiêu|thiểu|thao
挖	oạt
挚	chí
挛	luyên|luyến
挝	qua
挞	thát
挟	hiệp|tiệp
挠	nạo
挢	kiệu|kiểu|kiều
挣	tránh
挤	tễ|tê
挥	huy
挨	ai|ải
挪	na
挫	tỏa
振	chấn|chân
挱	sa
挵	phan
挹	ấp
挺	đĩnh
挼	noa
挽	vãn
挾	hiệp|tiệp
捃	quấn
捆	khổn
捉	tróc
捋	loát
捌	bát
捍	hãn
捎	sao|siếu
捏	niết
捐	quyên
捓	gia
捗	duệ
捞	lao|liệu
损	tổn
换	hoán
捣	đảo
捥	oản
捧	phủng
捨	xả
捩	liệt|lệ
捫	môn
捭	bãi
据	cư|cứ
捱	nhai
捲	quyển|quyền
捴	tổng
捵	điến
捶	chúy
捷	tiệp|thiệp
捺	nại
捻	niệp|niệm
捼	noa
捽	tốt
掀	hiên|hân
掂	điêm
掃	tảo
掄	luân
掇	xuyết
授	thụ
掉	điệu|trạo
掊	bồi|phẩu|bẫu
掌	chưởng
掎	kỷ|ỷ|ky
掏	đào
掐	kháp
排	bài
掖	dịch
掘	quật
掙	tránh
掛	quải
掞	thiểm
掠	lược
採	thải|thái
探	tham|thám
掣	xế|xiết
接	tiếp
控	khống
推	thôi
掩	yểm
措	thố|trách
掫	tưu
掬	cúc
掮	kiên
掯	khẳng
掳	lỗ
掴	quặc|quách
掷	trịch
掸	đạn|đàn
掼	quán
掽	bánh
掾	duyện
揀	giản|luyến
揄	du
揅	nghiên
揆	quỹ
揉	nhu|nhụ
揎	tuyên
描	miêu
提	đề|thì|để
揑	niết
插	sáp|tráp
揔	tổng
揕	chấm
揖	ấp
揗	tuần
揘	hoành
揚	dương
換	hoán
揜	yểm
揠	yết|yển
握	ác
揢	khách
揣	sủy|tuy|đoàn
揩	khai|giai
揪	thu
揫	thu
揭	yết
揮	huy
揲	thiệt|điệp
援	viên|viện
揶	gia
揸	tra
揽	lãm
揿	khấm
搀	sam
搁	các
搂	lâu
搅	giảo
搆	cấu|câu
搉	xác|giác
搊	xâu
損	tổn
搏	bác
搐	súc
搒	bãng|bang
搓	tha
搔	tao|trảo
搖	diêu
搗	đảo
搘	chi
搜	sưu|sảo
搡	táng
搢	tấn
搤	ách
搥	trùy|đôi
搦	nạch|nhược
搧	thiên
搨	tháp
搪	đường
搬	bàn|ban
搭	đáp
搲	oa
搴	khiên
搶	thưởng|thương|thướng
携	huề
搽	trà
搾	trá
搿	cách
摄	nhiếp
摅	sư
摆	bãi
摇	diêu
摈	bấn|thấn
摊	than
摑	quặc|quách
摒	bính
摔	suất
摘	trích
摛	si
摜	quán
摟	lâu
摠	tổng
摧	tồi|tỏa
摩	ma
摭	trích
摯	chí
摰	nghiệt
摳	khu
摴	sư
摶	đoàn|chuyên
摹	mô
摺	triệp|lạp
摽	phiếu|phiêu
撂	lược
撄	anh|oanh
撅	quyệt|quệ|quyết
撇	phiết
撈	lao|liệu
撏	triêm|tầm
撐	xanh
撑	xanh
撒	tát|tản
撓	nạo
撕	tê|ty
撙	tỗn
撚	niên|niễn|nhiên
撞	chàng
撟	kiệu|kiểu|kiều
撡	thao
撣	đạn|đàn
撤	triệt
撥	bát
撦	xả
撩	liêu|liệu
撫	phủ|mô
撬	khiêu
播	bá|bả
撮	toát
撰	soạn|tuyển|chuyển
撲	phác|bạc
撳	khấm
撵	niện
撷	hiệt
撺	thoán
撻	thát
撼	hám
撾	qua
擁	ủng|ung
擂	lôi|lụy
擄	lỗ
擅	thiện
擇	trạch
擊	kích
操	thao|tháo
擎	kình
擒	cầm
擔	đam|đảm
擕	huề
擗	bịch|tịch|phích
擘	phách|bịch
據	cứ
擞	tẩu
擠	tễ|tê
擡	đài
擢	trạc
擣	đảo
擥	lãm
擦	sát
擧	cử
擪	áp
擬	nghĩ
擭	hoạch|oách|hộ
擯	bấn|thấn
擰	ninh
擱	các
擲	trịch
擴	khoách|khoáng
擷	hiệt
擺	bãi
擻	tẩu
擾	nhiễu
擿	trích|thích
攀	phàn|phan
攄	sư
攅	toàn
攆	niện
攈	quấn
攏	long
攒	toàn|toản
攔	lan
攖	anh|oanh
攘	nhương|nhưỡng
攙	sam
攛	thoán
攜	huề
攝	nhiếp
攟	quấn
攢	toàn|toản
攣	luyên|luyến
攤	than
攩	đảng
攪	giảo
攫	quặc
攬	lãm
攮	nãng
支	chi
攲	khi
攴	phộc
收	thu|thú
攷	khảo
攸	du
改	cải
攻	công
放	phóng|phỏng
政	chánh
敁	điêm
敂	khấu
故	cố
效	hiệu
敉	mị
敌	địch
敎	giáo|giao
敏	mẫn
救	cứu
敔	ngữ
敕	sắc
敖	ngao|ngạo
敗	bại
敘	tự
教	giáo
敛	liễm|liệm
敝	tệ
敞	sưởng
敢	cảm
散	tán|tản
敦	đôn|đôi|đối|độn
敪	xuyết
敬	kính
敭	dương
数	sổ|số|sác|xúc
敲	xao
整	chỉnh
敵	địch
敷	phu
數	sổ|số|sác|xúc
敺	khu
敻	quýnh|huyến
斁	dịch|đố
斂	liễm|liệm
斃	tễ
斆	hiệu
文	văn|vấn
斋	trai
斌	bân
斐	phỉ
斑	ban
斒	ban
斓	lan
斕	lan
斗	đẩu
料	liêu|liệu
斛	hộc
斜	tà|gia
斝	giả
斟	châm
斠	dác|các
斡	oát|quản
斤	cân|cấn
斥	xích
斧	phủ
斨	thương
斩	trảm
斫	chước
斬	trảm
断	đoạn|đoán
斮	trác
斯	tư
新	tân
斲	trác
斵	trác
斷	đoạn|đoán
方	phương
於	ư|ô
施	thi|thí|dị|thỉ
斾	bái
斿	du
旁	bàng|bạng|banh|phang
旂	kì
旃	chiên
旄	mao|mạo
旅	lữ
旆	bái
旉	phu
旋	toàn
旌	tinh
旎	nỉ
族	tộc
旐	triệu
旒	lưu
旓	sao
旖	y
旗	kỳ
旛	phan
旝	quái
旟	dư
无	vô
旡	ký
旣	ký
旤	họa
日	nhật
旦	đán
旧	cựu
旨	chỉ
早	tảo
旬	tuần|quân
旭	húc
旰	cán|hãn
旱	hạn
时	thì|thời
旷	khoáng
旹	thì
旺	vượng
旻	mân
旾	xuân
昂	ngang
昃	trắc
昆	côn
昇	thăng
昉	phưởng
昊	hạo
昌	xương
明	minh
昏	hôn
易	dịch|dị
昔	tích
昕	hân
昙	đàm
昚	thận
昜	dương
星	tinh
映	ánh
春	xuân
昧	muội
昨	tạc
昫	hu|hú
昬	hôn
昭	chiêu
是	thị
昱	dục
昳	điệt
昴	mão
昵	nật
昶	sưởng
昼	trú
显	hiển
晁	triều
時	thì|thời
晉	tấn
晋	tấn
晌	thưởng
晏	yến
晒	sái
晓	hiểu
晕	vựng
晖	huy
晚	vãn
晜	côn
晝	trú
晞	hi
晟	thịnh|thạnh
晡	bô
晤	ngộ
晦	hối
晨	thần
晬	tối
普	phổ
景	cảnh
晰	tích
晳	triết|chế
晴	tình
晶	tinh
晷	quỹ
智	trí
晾	lượng
暂	tạm
暄	huyên
暇	hạ
暈	vựng
暉	huy
暋	mẫn
暌	khuê
暍	yết|hát
暎	ánh
暑	thử
暖	noãn
暗	ám
暘	dương
暝	minh|mính
暢	sướng
暧	ái
暫	tạm
暭	hạo
暮	mộ
暱	nật
暴	bạo|bộc
暵	hán
暹	xiêm|tiêm
暾	thôn
曀	ê
曁	kỵ
曆	lịch
曇	đàm
曈	đồng
曉	hiểu
曏	hướng
曖	ái
曙	thự
曚	mông
曛	huân
曜	diệu
曝	bộc
曠	khoáng
曦	hi
曨	lông
曩	nẵng
曬	sái
曰	viết
曲	khúc
曳	duệ
更	canh|cánh
曵	duệ
曷	hạt
書	thư
曹	tào
曺	tào
曼	mạn|man
曾	tằng
替	thế
最	tối
會	hội|cối
朅	khiết
月	nguyệt
有	hữu|dựu
朋	bằng
服	phục
朒	nục
朔	sóc
朕	trẫm
朗	lãng
望	vọng
朝	triêu|triều
朞	ki
期	kỳ|ky
朦	mông
朧	lông
木	mộc
未	vị|mùi
末	mạt
本	bổn|bản
札	trát
朮	truật
术	thuật
朱	chu
朴	phác
朵	đóa
朶	đóa
机	ky|cơ
朽	hủ
杀	sát|sái|tát
杂	tạp
权	quyền
杅	vu
杆	can
杇	ô
杈	xoa
杉	sam
杌	ngột
李	lý
杏	hạnh
材	tài
村	thôn
杓	tiêu|thược
杕	đệ
杖	trượng|tráng
杗	mang
杙	dặc
杜	đỗ
杞	kỷ
束	thúc|thú
杠	giang
条	điêu
来	lai|lãi
杨	dương
杪	diểu
杭	hàng
杯	bôi
杰	kiệt
東	đông
杲	cảo
杳	yểu|liểu
杵	xử
杶	suân
杷	ba|bà
杻	nữu|xiềng
杼	trữ|thự|thữ
松	tùng
板	bản
极	cực
构	cấu
枅	phanh|bình
枇	tì
枉	uổng
枋	phương
枌	phần
枏	nam
析	tích
枑	hộ
枕	chẩm|chấm
林	lâm
枘	nhuế
枚	mai
果	quả
枝	chi|kỳ
枞	tung
枢	xu
枣	tảo
枥	lịch
枨	tranh|trành
枪	thương|sanh
枫	phong
枭	kiêu
枯	khô
枰	bình|bính
枲	tỉ
枳	chỉ
枴	quải
枵	hiêu
架	giá
枷	gia
枸	cẩu|củ
枹	phu|phù|bao
枻	duệ|tiết
柁	đả|đà
柄	bính
柈	bàn
柎	phu|phủ|phụ
柏	bách
某	mỗ
柑	cam
柒	thất
染	nhiễm
柔	nhu
柘	chá|giá
柙	hiệp|giáp
柚	dữu|trục
柜	cự
柝	thác
柞	tạc|trách
柟	nam
柠	nịnh
柢	để|đế
查	tra
柨	thị|sĩ
柩	cữu
柬	giản
柮	đốt
柯	kha
柰	nại
柱	trụ|trú
柳	liễu
柴	sài|tí
柵	sách
柷	chúc
柹	thị|sĩ
柽	sanh
栀	chi
栅	sách
标	tiêu|phiêu
栈	sạn|xiễn|trăn|chăn
栉	trất
栊	long
栋	đống
栌	lô
栎	lịch|lao
栏	lan
树	thụ
栓	xuyên
栖	tê|thê
栗	lật
栝	quát
栞	san
栟	kiên
校	giáo|hiệu|hào
栢	bách
栨	thứ
栩	hủ
株	chu|châu
栱	củng
栲	khảo
栳	lão
栴	chiên
样	dạng
核	hạch
根	căn
格	cách|các
栽	tài|tải
栾	loan
桀	kiệt
桁	hành|hàng|hãng
桂	quế
桃	đào
桄	quáng|quang
桅	ngôi|nguy
框	khuông
案	án
桌	trác
桎	chất
桐	đồng
桑	tang
桓	hoàn
桔	kết
桕	cữu
桠	nha
桡	nạo|nhiêu
桢	trinh
档	đương|đáng
桥	kiều|khiêu|cao
桦	hoa
桧	cối
桨	tưởng
桩	thung
桫	sa
桬	sa
桮	bôi
桰	quát
桲	bột
桴	phù|phu
桶	dũng
桷	giác
桹	lang
梁	lương
梃	đĩnh
梅	mai
梆	bang
梏	cốc
梐	bệ
梓	tử
梔	chi
梗	ngạnh
條	điều|thiêu
梟	kiêu
梠	lữ
梢	sao|tiêu
梦	mộng|mông
梧	ngô|ngộ
梨	lê
梭	toa|thoa
械	giới
梱	khổn|khốn|ngôn
梲	chuyết
梳	sơ
梵	phạm
梹	tân
检	kiểm
棂	linh
棃	lê
棄	khí
棉	miên
棋	kỳ|kí
棍	côn
棐	phỉ
棒	bổng
棖	tranh|trành
棗	tảo
棘	cức
棚	bằng
棟	đống
棠	đường
棣	lệ|đại|thế
棧	sạn|xiễn|trăn|chăn
棨	khể|khải
棫	vực
棬	khuyên|quyển
森	sâm
棱	lăng
棲	tê|thê
棵	khỏa
棹	trạo|trác
棺	quan|quán
棼	phần
椀	oản
椁	quách
椅	y|ỷ
椇	củ
椉	thừa
植	thực|trĩ
椎	chuy
椏	nha
椐	cư|cử
椒	tiêu
椓	trạc
椗	đính
椟	độc
椠	tạm|thiễm
椤	la
椭	thỏa
椰	gia
椳	ôi
椶	tông
椷	giam|hàm|ham
椸	di
椹	châm|thầm
椽	chuyên
椾	tiên
椿	xuân|thung
楂	tra
楊	dương
楓	phong
楔	tiết
楘	mộc
楙	mậu
楚	sở
楛	hộ|khổ
楝	luyện
楞	lăng
楠	nam
楡	du
楢	do
楣	mi
楥	huyên
楦	tuyên
楨	trinh
楫	tiếp
楬	kiệt|kệ
業	nghiệp
楮	chử
楳	kì
極	cực
楷	giai|khải
楸	thu
楹	doanh
楼	lâu
概	khái
榄	lãm
榇	sấn
榈	lư
榉	cử
榑	phù
榔	lang
榕	dong
榖	cốc
榘	củ
榛	trăn
榜	bảng
榤	kiệt
榦	cán|hàn
榧	phỉ
榨	trá
榫	chuẩn
榭	tạ
榮	vinh
榱	suy
榲	ốt
榷	các|giác
榻	tháp
榼	khạp
榾	cốt
槀	cảo
槁	cảo
槃	bàn
槅	cách|hạch
槊	sóc|sáo
構	cấu
槌	chùy
槍	thương|sanh
槎	tra
槐	hòe
槑	mai
槓	cống
槛	hạm
槟	tân
槥	tuệ
槧	tạm|thiễm
槨	quách
槩	khái
槭	túc|sắc
槱	dửu
槲	hộc
槳	tưởng
槹	cao
槼	quy
槽	tào
槿	cận
樁	thung
樂	nhạc|lạc|nhạo
樅	tung
樊	phiền|phàn
樑	lương
樓	lâu
樗	xư
標	tiêu|phiêu
樛	cù
樝	tra
樞	xu
樟	chương
模	mô
樣	dạng
樨	tê
横	hoành|hoạnh|quáng
樯	tường
樱	anh
樲	nhị
樵	tiều
樷	tùng
樸	phác|bốc
樹	thụ
樺	hoa
樽	tôn
樾	việt
橄	cảm
橅	mô
橇	khiêu
橈	nạo|nhiêu
橊	lưu|lựu
橋	kiều|khiêu|cao
橐	thác
橕	xanh
橘	quất
橙	chanh|sập
橛	quyết
機	ky|cơ
橡	tượng
橢	thỏa
橤	nhị
橥	trư
橧	tăng|tằng
橫	hoành|hoạnh|quáng
橱	thụ
橹	lỗ
橼	duyên
檀	đàn
檃	ổn
檄	hịch
檇	tuy
檉	sanh
檎	cầm
檐	diêm|thiềm
檔	đương|đáng
檜	cối
檝	tiếp
檟	giả
檠	kềnh
檢	kiểm
檣	tường
檬	mông
檮	đào
檯	đài
檳	tân
檸	nịnh
檻	hạm
檿	yểm
櫂	trạo|trạc
櫃	quỹ
櫉	trù
櫍	chất
櫓	lỗ
櫚	lư
櫛	trất
櫜	cao
櫝	độc
櫞	duyên
櫟	lịch|lao
櫨	lô
櫪	lịch
櫫	trư
櫬	sấn
櫱	nghiệt
櫳	long
櫸	cử
櫺	linh
櫻	anh
欃	sàm
欄	lan
權	quyền
欏	la
欒	loan
欖	lãm
欛	bá
欝	uất
欠	khiếm
次	thứ
欢	hoan
欣	hân
欤	dư
欧	âu|ẩu
欬	khái|ái
欲	dục
欵	khoản
欷	hy
欸	ai|ái
欹	y
欺	khi
欽	khâm
款	khoản
欿	khảm
歃	sáp
歆	hâm
歇	hiết
歈	du
歉	khiểm
歌	ca
歎	thán
歐	âu|ẩu
歔	hư
歕	phun
歗	khiếu
歙	hấp|thiệp
歟	dư
歠	xuyết
歡	hoan
止	chỉ
正	chánh|chính
此	thử
武	vũ|võ
歧	kỳ
歪	oai|oa
歬	tiền
歰	sáp
歱	chủng
歲	tuế
歷	lịch
歸	quy
歹	ngạt|đãi
死	tử
歼	tiêm
歾	một
歿	một
殀	yểu
殁	một
殂	tồ
殃	ương
殄	điễn
殆	đãi
殇	thương
殉	tuẫn
殊	thù
残	tàn
殍	biễu
殒	vẫn
殓	liễm
殖	thực
殘	tàn
殚	đàn|đạn
殛	cức
殞	vẫn
殡	tấn|thấn
殣	cận
殤	thương
殪	ế
殫	đàn|đạn
殭	cương
殮	liễm
殯	tấn|thấn
殱	tiêm
殲	tiêm
殳	thù
殴	ẩu
段	đoạn
殷	ân|an|ẩn
殺	sát|sái|tát
殼	xác
殽	hào|hạo
殿	điện|điến
毀	hủy
毁	hủy
毂	cốc
毅	nghị
毆	ẩu
毈	đoạn
毋	vô|mưu
母	mẫu
每	mỗi|môi
毒	độc|đốc
毓	dục
比	bỉ|bí|bì|tỉ
毕	tất
毖	bí
毗	bì|tỳ
毘	bì
毙	tễ
毛	mao|mô
毡	chiên
毧	nhung
毫	hào
毬	cầu
毯	thảm
毳	thuế|thúy
毵	tam
毷	máo
毹	du
毽	kiến
毿	tam
氂	ly
氄	nhũng
氅	sưởng
氈	chiên
氉	táo
氍	cù
氏	thị|chi
氐	để|đê
民	dân
氓	manh
气	khí|khất
氛	phân
氣	khí
氤	nhân
氲	uân
氳	uân
水	thủy
氷	băng
永	vĩnh
氾	phiếm
汀	đinh
汁	trấp|hiệp
求	cầu
汆	thộn|tù
汇	hối
汉	hán
汊	xá
汍	hoàn
汎	phiếm
汐	tịch
汕	sán
汗	hãn|hàn
汙	ô|oa|ố
汛	tấn
汜	tỷ|dĩ
汝	nhữ
汞	hống|cống
江	giang
池	trì
汤	thang|sương|thãng
汨	mịch|cốt
汪	uông
汭	nhuế
汰	thái|thải
汲	cấp
汴	biện
汶	vấn|môn
汹	hung
決	quyết
汽	khí
汾	phần
沁	thấm|sấm
沂	nghi|ngân
沃	ốc
沅	nguyên
沆	hãng|hàng
沇	duyện
沈	trầm|thẩm|trấm
沌	độn
沐	mộc
沒	một
沓	đạp
沔	miện
沖	trùng|xung
沙	sa|sá
沚	chỉ
沛	phái|bái
沟	câu
没	một
沤	ẩu|âu
沥	lịch
沦	luân
沧	thương
沪	hỗ
沫	mạt
沬	muội|mội
沭	thuật
沮	tự|trở|thư
沱	đà
河	hà
沴	lệ|diễn
沸	phí|phất
油	du
治	trì|trị
沼	chiểu
沽	cô|cổ
沾	triêm|điếp
沿	duyên
況	huống
泂	huýnh
泄	tiết|duệ
泅	tù
泆	dật
泉	tuyền|toàn
