aktivista	aktivisty|aktivistou|aktivistech|aktivisto|aktivistové|aktivistu|aktivistů|aktivistům|aktivistovi
aktivita	aktivito|aktivitách|aktivitám|aktivitami|aktivity|aktivitou|aktivitě|aktivitu|aktivit
aktivní	aktivních|aktivními|aktivnímu|aktivního|aktivním
aktivovat	aktivujme|aktivujíce|aktivovaly|aktivovavše|aktivování|aktivována|aktivujíc|aktivováno|aktivovavši|aktivuje|aktivován|aktivují|aktivujte|aktivovav|aktivuji|aktivuj|aktivovány|aktivující|aktivoval|aktivovali|aktivujeme|aktivováni|aktivuješ|aktivovala|aktivujete|aktivovalo
aktovka	aktovek|aktovkám|aktovkách|aktovce|aktovko|aktovkou|aktovku|aktovky|aktovkami
aktualizovaný	aktualizovaná|aktualizovaným|aktualizovanou|aktualizovanému|aktualizovaní|aktualizovaného|aktualizovaných|aktualizovanými|aktualizovaném|aktualizované
aktualizovat	aktualizovali|aktualizoval|aktualizovány|aktualizující|aktualizovaly|aktualizuji|aktualizování|aktualizovalo|aktualizována|aktualizuje|aktualizují|aktualizovavši|aktualizováni|aktualizujme|aktualizujeme|aktualizováno|aktualizován|aktualizovav|aktualizujíce|aktualizujíc|aktualizovala|aktualizujte|aktualizuješ|aktualizuj|aktualizovavše|aktualizujete
aktuální	aktuálních|aktuálnímu|aktuálním|aktuálními|aktuálního
akumulátor	akumalátorech|akumalátorů|akumalátorem|akumalátore|akumalátor|akumalátorům|akumalátory|akumalátoru
akupunktura	akupuktur|akupukturou|akupuktura|akupukturami|akupukturám|akupukturu|akupuktuře|akupuktury|akupukturách|akupukturo
akustický	akustickými|akustičtí|akustickému|akustického|akustické|akustickou|akustických|akustickým|akustická|akustickém
akustika	akustice|akustikou|akustikám|akustiku|akustikami|akustiek|akustiky|akustikách|akustiko
akutní	akutními|akutního|akutním|akutnímu|akutních
akuzativ	akuzative|akuzativu|akuzativech|akuzativům|akuzativy|akuzativů|akuzativem
akvarel	akvarely|akvarelům|akvarelů|akvarelem|akvarele|akvarelech|akvarelu
akvárium	akvária|akvárii|akváriem|akváriích|akváriu|akvárií|akváriím
albatros	albatrosy|albatrosů|albatrosům|albatrosu|albatrosech|albatrose|albatrosem
album	alby|alba|albech|alb|albu|albem|albům
albánský	albánských|albánské|albánskému|albánští|albánská|albánském|albánského|albánskou|albánským|albánskými
alchymie	alchymiemi|alchymií|alchymiím|alchymiích|alchymii
alchymista	alchymistu|alchymistům|alchymistou|alchymistovi|alchymistů|alchymisty|alchymistech|alchymistové|alchymisto
alegorický	alegorickém|alegorickým|alegorické|alegorická|alegorickými|alegorickou|alegorického|alegorických|alegorickému|alegoričtí
alegorie	alegorii|alegoriím|alegoriemi|alegoriích|alegorií
alej	alejím|alejích|aleji|alejemi|alejí|aleje
alela	alelám|alele|alelu|alel|alelami|alelách|alelo|alely|alelou
alergen	alergenech|alergenů|alergenem|alergenu|alergene|alergenům|alergeny
alergický	alergická|alergických|alergickému|alergičtí|alergickým|alergickými|alergickou|alergickém|alergické|alergického
alergie	alergii|alergiím|alergiemi|alergií|alergiích
algebra	algebře|algebrách|algebru|algeber|algebrám|algebrami|algebrou|algebry|algebro
algoritmický	algoritmické|algoritmickým|algoritmickou|algoritmického|algoritmických|algoritmickými|algoritmičtí|algoritmická|algoritmickému|algoritmickém
alkoholický	alkoholickém|alkoholičtí|alkoholické|alkoholickou|alkoholickými|alkoholickému|alkoholickým|alkoholického|alkoholických|alkoholická
alkoholik	alkoholiků|alkoholika|alkoholici|alkoholikovi|alkoholiku|alkoholikem|alkoholiky|alkoholikům|alkoholicích
alkoholismus	alkoholismusů|alkoholismusem|alkoholismusu|alkoholismusům|alkoholismuse|alkoholismusech|alkoholismusy
alobal	alobalem|alobalům|alobale|alobalech|alobaly|alobalů|alobalu
alpaka	alpakách|alpace|alpakami|alpako|alpak|alpaky|alpakám|alpaku|alpakou
altruismus	altruismem|altruisme|altruismech|altruismů|altruismy|altruismu|altruismům
aluviální	aluviálnímu|aluviálního|aluviálních|aluviálním|aluviálními
amalgám	amalgáme|amalgámech|amalgámů|amalgámu|amalgámy|amalgámům|amalgámem
amatér	amatérem|amatérů|amatéři|amatéry|amatérům|amatéra|amatérech|amatéře|amatérovi
amatérský	amatérské|amatérských|amatérskému|amatérským|amatérskou|amatérském|amatérská|amatérskými|amatérští|amatérského
ambasáda	ambasádu|ambasád|ambasádách|ambasádo|ambasádě|ambasádami|ambasádou|ambasády|ambasádám
ambice	ambic|ambicí|ambici|ambicemi|ambicím|ambicích
ambiciózní	ambiciózních|ambiciózním|ambiciózního|ambiciózními|ambicióznímu
ambulance	ambulancí|ambulancím|ambulanci|ambulancemi|ambulancích
